<KINGUAGEM>|kinicio|0
<CODIGO>|kid|2
<CODIGO>|;|3
<CODIGO>|}|3
<CODIGO>|kim|3
<CODIGO>|sek|2
<CODIGO>|senaok|3
<CODIGO>|enkuanto|2
<CODIGO>|fimenkuanto|3
<CODIGO>|eskreva|2
<CODIGO>|leiak|2
<CODIGO>|kint|2
<INSTRUCAO>|kid|9
<INSTRUCAO>|sek|6
<INSTRUCAO>|enkuanto|7
<INSTRUCAO>|eskreva|4
<INSTRUCAO>|leiak|5
<INSTRUCAO>|kint|8
<ESCREVA>|eskreva|10
<LEIA>|leiak|11
<VARIAVEIS>|kint|19
<CONDICIONAL>|sek|12
<REPETICAO>|enkuanto|16
<EXPRESSAO>|numeko|21
<EXPRESSAO>|kid|20
<EXPRESSAO>|(|24
<EXPRESSAO>|+|22
<EXPRESSAO>|-|23
<ENQUANTO>|enkuanto|17
<ATRIBUICAO>|kid|18
<SE>|sek|13
<SENAO>|;|15
<SENAO>|senaok|14
<LOGICA>|numeko|32
<LOGICA>|kid|32
<KID_OU_NUMEKO>|numeko|31
<KID_OU_NUMEKO>|kid|30
<OPERADOR_LOGICO>|==|36
<OPERADOR_LOGICO>|<|37
<STRING>|string|33
<OPERADORES>|(|29
<OPERADORES>|)|29
<OPERADORES>|+|25
<OPERADORES>|-|26
<OPERADORES>|*|27
<OPERADORES>|/|28
<EXPRESSOES>|numeko|35
<EXPRESSOES>|kid|35
<EXPRESSOES>|string|34
<EXPRESSOES>|(|35
<EXPRESSOES>|+|35
<EXPRESSOES>|-|35

